 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  03/10/2007 16:29:06                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


702 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000001 0x003D25D0 0x00000014 0x003D25C0 0x00000034 0x00000000 new         N       N    ??(0) ??
000028 0x003D28F8 0x00000020 0x003D28E8 0x00000040 0x00000000 new         N       N    ??(0) ??
000029 0x003DD3C8 0x00000018 0x003DD3B8 0x00000038 0x00000000 new         N       N    ??(0) ??
000030 0x003DD408 0x00000014 0x003DD3F8 0x00000034 0x00000000 new         N       N    ??(0) ??
000031 0x003DD448 0x00000015 0x003DD438 0x00000035 0x00000000 new         N       N    ??(0) ??
000033 0x003DD4C8 0x00000017 0x003DD4B8 0x00000037 0x00000000 new         N       N    ??(0) ??
000035 0x003DD548 0x0000001B 0x003DD538 0x0000003B 0x00000000 new         N       N    ??(0) ??
000341 0x003DD958 0x0000003C 0x003DD948 0x0000005C 0x00000000 new         N       N    ??(0) ??
000219 0x003DE3B8 0x00000014 0x003DE3A8 0x00000034 0x00000000 new         N       N    ??(0) ??
000220 0x003DE480 0x00000019 0x003DE470 0x00000039 0x00000000 new         N       N    ??(0) ??
000221 0x003DE4C8 0x00000012 0x003DE4B8 0x00000032 0x00000000 new         N       N    ??(0) ??
000466 0x003DEC18 0x00000034 0x003DEC08 0x00000054 0x00000000 new         N       N    OgreRoot.cpp(132) ???
000488 0x003DED48 0x00000048 0x003DED38 0x00000068 0x00000000 new         N       N    OgreRoot.cpp(141) ???
001002 0x003DEDB8 0x00000054 0x003DEDA8 0x00000074 0x00000000 new         N       N    OgreCompositorManager.cpp(88) ???
000467 0x003DEE38 0x00000060 0x003DEE28 0x00000080 0x00000000 new         N       N    OgreRoot.cpp(135) ???
000998 0x003DEEC0 0x00000070 0x003DEEB0 0x00000090 0x00000000 new         N       N    OgreRoot.cpp(195) ???
000986 0x003DEF58 0x00000070 0x003DEF48 0x00000090 0x00000000 new         N       N    OgreRoot.cpp(192) ???
002418 0x003DF098 0x000000F0 0x003DF088 0x00000110 0x00000000 new         N       N    ??(0) ??
000222 0x003DF560 0x00000011 0x003DF550 0x00000031 0x00000000 new         N       N    ??(0) ??
000332 0x019D0588 0x00000013 0x019D0578 0x00000033 0x00000000 new         N       N    ??(0) ??
000336 0x019D1360 0x00000019 0x019D1350 0x00000039 0x00000000 new         N       N    ??(0) ??
000338 0x019D13E8 0x0000001B 0x019D13D8 0x0000003B 0x00000000 new         N       N    ??(0) ??
000339 0x019D1430 0x0000001C 0x019D1420 0x0000003C 0x00000000 new         N       N    ??(0) ??
000340 0x019D1478 0x00000024 0x019D1468 0x00000044 0x00000000 new         N       N    ??(0) ??
000342 0x019D14C8 0x00000018 0x019D14B8 0x00000038 0x00000000 new         N       N    ??(0) ??
000343 0x019D1508 0x00000024 0x019D14F8 0x00000044 0x00000000 new         N       N    ??(0) ??
