 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  03/24/2007 13:33:50                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


1354 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000001 0x000324A8 0x00000014 0x00032498 0x00000034 0x00000000 new         N       N    ??(0) ??
000028 0x0003D3F8 0x00000020 0x0003D3E8 0x00000040 0x00000000 new         N       N    ??(0) ??
000029 0x0003D440 0x00000018 0x0003D430 0x00000038 0x00000000 new         N       N    ??(0) ??
000030 0x0003D480 0x00000014 0x0003D470 0x00000034 0x00000000 new         N       N    ??(0) ??
000031 0x0003D4C0 0x00000015 0x0003D4B0 0x00000035 0x00000000 new         N       N    ??(0) ??
000033 0x0003D540 0x00000017 0x0003D530 0x00000037 0x00000000 new         N       N    ??(0) ??
000035 0x0003D5C0 0x0000001B 0x0003D5B0 0x0000003B 0x00000000 new         N       N    ??(0) ??
000341 0x0003D998 0x0000003C 0x0003D988 0x0000005C 0x00000000 new         N       N    ??(0) ??
000219 0x0003E3F8 0x00000014 0x0003E3E8 0x00000034 0x00000000 new         N       N    ??(0) ??
000427 0x0003E488 0x00000001 0x0003E478 0x00000021 0x00000000 new         N       N    main.cpp(14) ???
000220 0x0003E4C0 0x00000019 0x0003E4B0 0x00000039 0x00000000 new         N       N    ??(0) ??
000221 0x0003E508 0x00000012 0x0003E4F8 0x00000032 0x00000000 new         N       N    ??(0) ??
000467 0x0003EC58 0x00000034 0x0003EC48 0x00000054 0x00000000 new         N       N    OgreRoot.cpp(132) ???
000489 0x0003ED88 0x00000048 0x0003ED78 0x00000068 0x00000000 new         N       N    OgreRoot.cpp(141) ???
000468 0x0003EE78 0x00000060 0x0003EE68 0x00000080 0x00000000 new         N       N    OgreRoot.cpp(135) ???
000999 0x0003EF00 0x00000070 0x0003EEF0 0x00000090 0x00000000 new         N       N    OgreRoot.cpp(195) ???
000987 0x0003EF98 0x00000070 0x0003EF88 0x00000090 0x00000000 new         N       N    OgreRoot.cpp(192) ???
003011 0x0003F030 0x00000080 0x0003F020 0x000000A0 0x00000000 new         N       N    OgreGLRenderSystem.cpp(345) ???
000222 0x0003F5A0 0x00000011 0x0003F590 0x00000031 0x00000000 new         N       N    ??(0) ??
000332 0x01A005D0 0x00000013 0x01A005C0 0x00000033 0x00000000 new         N       N    ??(0) ??
000336 0x01A013A8 0x00000019 0x01A01398 0x00000039 0x00000000 new         N       N    ??(0) ??
000337 0x01A013F0 0x00000016 0x01A013E0 0x00000036 0x00000000 new         N       N    ??(0) ??
000338 0x01A01430 0x0000001B 0x01A01420 0x0000003B 0x00000000 new         N       N    ??(0) ??
000339 0x01A01478 0x0000001C 0x01A01468 0x0000003C 0x00000000 new         N       N    ??(0) ??
000340 0x01A014C0 0x00000024 0x01A014B0 0x00000044 0x00000000 new         N       N    ??(0) ??
000342 0x01A01510 0x00000018 0x01A01500 0x00000038 0x00000000 new         N       N    ??(0) ??
